Country Name,Population (total in hundred thousands),Population growth (annual %),Urban population growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area)
Afghanistan,333,3,4,0,73,16,0
Albania,29,0,2,2,100,39,18
Algeria,390,2,3,3,100,0,7
Andorra,1,-1,-1,6,100,19,25
Angola,270,3,5,1,37,52,7
Antigua and Barbuda,1,1,0,6,99,0,19
Arab World,3876,2,3,5,88,4,6
Argentina,427,1,1,5,100,10,9
Armenia,29,0,0,2,100,9,23
Aruba,1,0,0,16,99,6,13
Australia,235,2,2,17,100,9,19
Austria,86,1,1,7,100,33,28
Azerbaijan,95,1,2,4,100,3,10
The Bahamas,4,1,1,6,100,1,35
Bahrain,14,3,3,23,100,0,7
Bangladesh,1545,1,3,0,67,38,5
Barbados,3,0,0,5,100,5,1
Belarus,95,0,1,7,100,7,9
Belgium,112,1,1,9,100,8,23
Belize,4,2,2,2,94,35,38
Benin,103,3,4,1,38,51,29
Bermuda,1,0,0,8,100,2,3
Bhutan,7,1,3,1,90,88,48
Bolivia,107,2,2,2,90,18,31
Bosnia and Herzegovina,35,-1,-1,6,100,25,1
Botswana,21,2,3,2,56,29,29
Brazil,2027,1,1,2,100,44,29
British Virgin Islands,0,1,2,6,99,1,9
Brunei Darussalam,4,1,2,22,100,0,47
Bulgaria,72,-1,0,6,100,16,35
Burkina Faso,176,3,5,0,19,77,15
Burundi,99,3,6,0,7,95,8
Cabo Verde,5,1,2,1,86,24,3
Cambodia,153,2,3,0,60,68,26
Cameroon,227,3,4,0,57,78,11
Canada,354,1,1,15,100,22,10
Caribbean small states,72,1,1,9,96,9,14
Cayman Islands,1,2,2,9,100,0,11
Central African Republic,45,1,2,0,20,78,18
Central Europe and the Baltics,1035,0,0,7,100,16,30
Chad,137,3,4,0,8,90,20
Chile,178,1,1,5,100,28,18
China,13648,1,3,7,100,12,16
Colombia,472,1,2,2,98,26,15
Comoros,8,2,3,0,73,46,10
Dem. Rep. of the Congo,740,3,5,0,16,95,13
Rep. Congo,47,3,3,1,52,62,41
Costa Rica,48,1,2,2,99,39,28
Cote d'Ivoire,227,2,3,0,61,73,23
Croatia,42,-1,0,4,100,31,38
Cuba,113,0,0,3,99,17,17
Curacao,2,1,1,37,100,0,15
Cyprus,12,1,1,6,100,8,19
Czech Republic,105,0,0,10,100,13,22
Denmark,57,1,1,7,100,27,18
Djibouti,9,2,2,1,57,31,2
Dominica,1,0,1,2,98,9,22
Dominican Republic,102,1,2,2,99,17,25
Early-demographic dividend,30797,1,2,2,83,26,13
East Asia & Pacific,22676,1,2,6,97,14,16
East Asia & Pacific (IDA & IBRD countries),19987,1,3,6,97,16,15
East Asia & Pacific (excluding high income),20238,1,3,6,96,16,15
Ecuador,160,2,2,3,98,13,21
Egypt,905,2,2,2,100,6,13
El Salvador,63,0,2,1,95,28,9
Equatorial Guinea,11,4,5,5,66,6,19
Eritrea,32,1,3,0,44,80,5
Estonia,13,0,0,14,100,25,20
Eswatini,11,1,2,1,61,64,4
Ethiopia,982,3,5,0,34,93,18
Euro area,3385,0,0,7,100,15,26
Europe & Central Asia,9033,0,1,7,100,12,12
Europe & Central Asia (IDA & IBRD countries),4505,1,1,8,100,7,9
Europe & Central Asia (excluding high income),4083,1,1,8,100,6,9
European Union,5083,0,0,7,100,15,26
Faroe Islands,0,0,1,13,100,5,2
Fiji,9,0,1,1,93,33,5
Finland,55,0,1,10,100,38,15
Fragile and conflict affected situations,4721,2,3,1,48,52,11
France,662,0,1,5,100,13,26
French Polynesia,3,1,1,3,100,10,2
Gabon,19,3,4,3,90,81,22
The Gambia,20,3,4,0,52,54,4
Georgia,37,0,0,2,100,32,8
Germany,815,0,0,9,100,12,38
Ghana,272,2,4,0,73,45,15
Gibraltar,0,0,0,14,100,0,31
Greece,109,0,0,7,100,14,35
Greenland,1,0,0,11,100,13,41
Grenada,1,1,1,2,92,11,10
Guatemala,159,2,3,1,88,65,24
Guinea,112,2,3,0,30,77,34
Guinea-Bissau,17,3,4,0,16,87,17
Guyana,8,0,0,2,87,29,9
Haiti,105,1,3,0,39,80,1
Heavily indebted poor countries (HIPC),6999,3,4,0,35,78,18
High income,11841,1,1,11,100,10,15
Honduras,90,2,3,1,86,52,25
Hong Kong,72,1,1,6,100,1,42
Hungary,99,0,0,5,100,16,23
IBRD only,45986,1,2,4,94,17,14
IDA & IBRD total,61012,1,2,3,83,23,15
IDA blend,5083,2,4,1,63,62,15
IDA only,9943,2,4,0,45,71,16
IDA total,15026,2,4,1,51,66,15
Iceland,3,1,1,6,100,76,18
India,12947,1,2,2,82,38,6
Indonesia,2550,1,3,2,96,38,12
Iran,776,1,2,8,100,1,9
Iraq,342,3,3,5,99,1,2
Ireland,47,1,1,8,100,7,14
Israel,82,2,2,9,100,5,20
Italy,602,0,1,6,100,15,22
Jamaica,29,1,1,3,96,16,16
Japan,1273,0,0,9,100,5,26
Jordan,88,4,5,3,100,3,2
Kazakhstan,173,1,2,15,100,1,3
Kenya,467,3,4,0,44,76,12
Kiribati,1,2,3,1,82,4,22
North Korea,251,0,1,2,36,20,2
South Korea,507,1,0,12,100,2,12
Kuwait,36,4,4,29,100,0,18
Kyrgyz Republic,59,2,2,2,100,25,7
Lao PDR,66,2,3,0,82,64,17
Late-demographic dividend,22349,1,2,7,99,14,16
Latin America & Caribbean,6163,1,1,3,97,28,23
Latin America & Caribbean (excluding high income),5849,1,1,3,97,28,24
Latin America & the Caribbean (IDA & IBRD countries),6003,1,1,3,97,28,23
Latvia,20,-1,-1,4,100,38,18
Least developed countries: UN classification,9209,2,4,0,41,75,15
Lebanon,61,4,4,4,100,5,3
Lesotho,20,1,2,1,27,52,0
Liberia,44,3,4,0,12,86,4
Libya,64,1,1,9,76,2,0
Liechtenstein,0,1,1,1,100,61,22
Lithuania,29,-1,-1,4,100,25,17
Low & middle income,60728,1,2,3,83,23,15
Low income,6391,3,4,0,34,76,16
Lower middle income,28560,1,3,1,79,41,14
Luxembourg,6,2,3,20,100,6,38
Madagascar,236,3,5,0,18,75,5
Malawi,163,3,4,0,10,80,21
Malaysia,299,1,2,8,100,4,19
Maldives,4,4,5,3,100,1,1
Mali,170,3,5,0,33,65,8
Malta,4,2,2,6,100,3,28
Marshall Islands,1,0,1,2,92,12,12
Mauritania,39,3,5,1,38,33,1
Mauritius,13,0,0,3,98,12,5
Mexico,1203,1,2,4,99,9,14
Micronesia,1,1,1,1,73,1,1
Middle East & North Africa,4177,2,2,6,97,2,7
Middle East & North Africa (IDA & IBRD countries),3535,2,2,4,96,3,7
Middle East & North Africa (excluding high income),3577,2,2,4,96,3,7
Middle income,54337,1,2,4,89,21,14
Moldova,36,0,0,1,100,12,4
Mongolia,29,2,2,9,81,3,18
Montenegro,6,0,1,4,100,46,6
Morocco,342,1,2,2,96,12,31
Mozambique,264,3,4,0,23,90,22
Myanmar,522,1,1,0,56,75,7
Namibia,23,2,4,1,48,28,38
Nepal,272,0,3,0,80,86,24
Netherlands,169,0,1,10,100,5,11
